product_id,size
86253414,XSmall
86253590,Small
86253590,XLarge
86253590,XSmall
86354595,Large
86354595,XLarge
86376807,Large
86376807,Medium
86376807,Small
86376807,XLarge
86376807,XSmall
86377437,Large
86377437,Medium
86377437,XLarge
86513692,Large
86513692,Medium
86513692,Small
86514036,Medium
86514036,Small
86514036,XLarge
86723368,1XB Extra Big
86723368,2XB Extra Big
86723368,4XB Extra Big
86723368,5XB Extra Big
86723369,2XLarge
86723369,Large
86723369,XLarge
86723927,Large
86723927,Medium
86803678,2XLarge
86803678,Large
86803678,Medium
86803678,Small
86803678,XLarge
86855510,Large
86855510,Medium
86855510,Small
86855510,XSmall
86861217,Medium
86861217,Small
87108917,2XLarge
87108917,Large
87108917,Small
87108917,XSmall
87115643,Medium
87115643,Small
87125006,Large
87125006,Medium
87125006,Small
87125006,XSmall
87228260,Medium
87228260,Small
87245450,2XLarge
87245450,Large
87245450,Medium
87245450,Small
87245450,XLarge
87245451,2XLarge
87245451,Large
87245451,Medium
87245451,Small
87245451,XLarge
87245453,2XLarge
87245453,Medium
87245453,Small
87245453,XLarge
87245454,Large
87245454,Medium
87362053,3XLarge
87362053,Large
87362053,Medium
87362053,Small
87362053,XLarge
87365235,Shoe 10
87365235,Shoe 10.5
87365235,Shoe 11
87365235,Shoe 12
87365235,Shoe 13
87365235,Shoe 7
87365235,Shoe 7.5
87365235,Shoe 8
87365235,Shoe 9
87365235,Shoe 9.5
87365235,Shoe Size 11.5
87365813,Shoe 10
87365813,Shoe 11
87365813,Shoe 12
87365813,Shoe 13
87365813,Shoe 9
87366089,Shoe 10
87366089,Shoe 10.5
87366089,Shoe 11
87366089,Shoe 12
87366089,Shoe 13
87366089,Shoe 7
87366089,Shoe 7.5
87366089,Shoe 8
87366089,Shoe 9
87366089,Shoe 9.5
87366089,Shoe Size 11.5
87366845,Hat Small/Medium
87366845,Hat XSmall/Small
87366850,Large
87366850,Medium
87366850,Small
87366850,XLarge
87367224,2XLarge
87367224,Large
87367224,Medium
87367224,Small
87377094,2XLarge
87377094,Large
87377094,Medium
87377094,Small
87377094,XLarge
87377996,Large
87377996,Medium
87377996,Small
87377996,XSmall
87378810,Medium
87378810,Small
87404017,2XLarge
87404017,Large
87404017,Medium
87404017,Small
87404017,XLarge
87404608,2XLarge
87404608,Large
87404608,Medium
87404608,Small
87404608,XLarge
87404841,2XLarge
87404841,Large
87404841,Medium
87404841,Small
87404841,XLarge
87405301,2XLarge
87405301,Large
87405301,Medium
87405301,Small
87405301,XLarge
87406210,Medium
87406210,Small
87406210,XLarge
87406454,Large
87406454,Medium
87406454,Small
87406454,XLarge
87406454,XSmall
87406617,Large
87406617,Medium
87406617,Small
87406617,XSmall
87415597,2XLarge
87415597,Large
87415597,Medium
87415597,Small
87415597,XLarge
87418501,2XLarge
87418501,Large
87418501,Medium
87418501,Small
87418501,XLarge
87418501,XSmall
87434567,2XLarge
87434567,Large
87434567,Medium
87434567,Small
87434567,XLarge
87434567,XSmall
87435718,Large
87435718,Medium
87435718,Small
87435718,XLarge
87436189,Large
87436189,Medium
87436189,Small
87436189,XLarge
87436372,Medium
87436372,Small
87436430,Medium
87436430,Small
87499545,Large
87499545,Medium
87499545,Small
87499545,XLarge
87765492,2XLarge
87765492,Large
87765492,Medium
87765492,Small
87765492,XLarge
87768971,2XLarge
87768971,Large
87768971,Medium
87768971,Small
87768971,XLarge
87769047,2XLarge
87769047,3XLarge
87769047,Large
87769047,Medium
87769047,Small
87769047,XLarge
87769102,Medium
87769102,Small
87769104,2XLarge
87769104,Large
87769104,Medium
87769104,Small
87769104,XLarge
87815815,Large
87815815,Medium
87815815,Small
87815815,XLarge
87815815,XSmall
87815816,2XLarge
87815816,Large
87815816,Medium
87815816,Small
87815816,XLarge
87815818,Medium
87815818,Small
87815828,Large
87815828,Medium
87815828,Small
87815828,XSmall
87815964,Large
87815964,Medium
87815964,Small
87815964,XLarge
87815964,XSmall
87866453,2XLarge
87866453,Large
87866453,Medium
87866453,Small
